m,Cost,Algorithm
12,79,Greedy
12,13,Greedy
12,2,Greedy
12,132,Greedy
12,15,Greedy
12,26,Greedy
12,139,Greedy
12,153,Greedy
12,374,Greedy
12,328,Greedy
12,243,Greedy
12,58,Greedy
13,322,Greedy
13,461,Greedy
13,554,Greedy
13,302,Greedy
13,213,Greedy
13,2537,Greedy
13,26,Greedy
13,27,Greedy
13,1031,Greedy
13,1069,Greedy
13,20,Greedy
13,1244,Greedy
13,437,Greedy
13,263,Greedy
13,859,Greedy
13,440,Greedy
13,91,Greedy
13,140,Greedy
13,1066,Greedy
13,1971,Greedy
13,614,Greedy
13,1886,Greedy
13,156,Greedy
13,161,Greedy
13,861,Greedy
14,3972,Greedy
14,1251,Greedy
14,160,Greedy
14,762,Greedy
14,435,Greedy
14,1235,Greedy
14,1425,Greedy
14,4652,Greedy
14,3525,Greedy
14,2401,Greedy
14,488,Greedy
14,1809,Greedy
14,342,Greedy
14,409,Greedy
14,1006,Greedy
14,252,Greedy
14,4073,Greedy
14,975,Greedy
14,551,Greedy
14,2818,Greedy
14,1646,Greedy
14,460,Greedy
14,436,Greedy
14,651,Greedy
14,1368,Greedy
15,9,Greedy
15,472,Greedy
15,397,Greedy
15,1072,Greedy
15,5002,Greedy
15,1182,Greedy
15,1319,Greedy
15,2221,Greedy
15,546,Greedy
15,5071,Greedy
15,1365,Greedy
15,1878,Greedy
15,33,Greedy
15,1924,Greedy
15,958,Greedy
15,1776,Greedy
15,1168,Greedy
15,2077,Greedy
15,467,Greedy
15,9757,Greedy
15,2888,Greedy
15,4715,Greedy
15,7685,Greedy
15,10734,Greedy
15,5189,Greedy
16,11100,Greedy
16,6102,Greedy
16,1563,Greedy
16,1083,Greedy
16,3961,Greedy
16,2048,Greedy
16,3827,Greedy
16,10810,Greedy
16,6556,Greedy
16,4258,Greedy
16,290,Greedy
16,397,Greedy
16,3150,Greedy
16,5469,Greedy
16,1113,Greedy
16,4770,Greedy
16,324,Greedy
16,475,Greedy
16,12478,Greedy
16,11,Greedy
16,2295,Greedy
16,6382,Greedy
16,1167,Greedy
16,864,Greedy
16,11718,Greedy
17,9305,Greedy
17,3714,Greedy
17,19217,Greedy
17,21396,Greedy
17,5146,Greedy
17,10216,Greedy
17,15669,Greedy
17,9090,Greedy
17,4774,Greedy
17,14955,Greedy
17,1928,Greedy
17,15449,Greedy
17,3273,Greedy
17,8806,Greedy
17,4204,Greedy
17,7459,Greedy
17,2034,Greedy
17,4103,Greedy
17,164,Greedy
17,1482,Greedy
17,12187,Greedy
17,23972,Greedy
17,272,Greedy
17,8477,Greedy
17,774,Greedy
18,2524,Greedy
18,26754,Greedy
18,42651,Greedy
18,12645,Greedy
18,24776,Greedy
18,48243,Greedy
18,7729,Greedy
18,67355,Greedy
18,27843,Greedy
18,5429,Greedy
18,34678,Greedy
18,17395,Greedy
18,13857,Greedy
18,18929,Greedy
18,9708,Greedy
18,14655,Greedy
18,10705,Greedy
18,3149,Greedy
18,23661,Greedy
18,10277,Greedy
18,40046,Greedy
18,75259,Greedy
18,7196,Greedy
18,18668,Greedy
18,22550,Greedy
19,15468,Greedy
19,48819,Greedy
19,2965,Greedy
19,6316,Greedy
19,4342,Greedy
19,20694,Greedy
19,3157,Greedy
19,79717,Greedy
19,89758,Greedy
19,33270,Greedy
19,13172,Greedy
19,2764,Greedy
19,17208,Greedy
19,38873,Greedy
19,6952,Greedy
19,20885,Greedy
19,12556,Greedy
19,66392,Greedy
19,751,Greedy
19,15387,Greedy
19,33852,Greedy
19,45004,Greedy
19,6147,Greedy
19,3321,Greedy
19,1346,Greedy
20,77161,Greedy
20,4722,Greedy
20,3267,Greedy
20,32353,Greedy
20,28955,Greedy
20,108818,Greedy
20,12349,Greedy
20,33436,Greedy
20,6248,Greedy
20,52900,Greedy
20,106629,Greedy
20,31886,Greedy
20,155608,Greedy
20,37209,Greedy
20,4102,Greedy
20,10209,Greedy
20,6167,Greedy
20,21653,Greedy
20,55431,Greedy
20,88981,Greedy
20,144023,Greedy
20,47177,Greedy
20,959,Greedy
20,20729,Greedy
20,50783,Greedy
2,1,Complete Greedy
2,0,Complete Greedy
2,1,Complete Greedy
2,0,Complete Greedy
2,1,Complete Greedy
2,1,Complete Greedy
2,0,Complete Greedy
2,1,Complete Greedy
2,0,Complete Greedy
2,1,Complete Greedy
2,0,Complete Greedy
2,1,Complete Greedy
2,1,Complete Greedy
2,0,Complete Greedy
2,0,Complete Greedy
2,1,Complete Greedy
2,0,Complete Greedy
2,0,Complete Greedy
2,0,Complete Greedy
2,1,Complete Greedy
2,1,Complete Greedy
2,0,Complete Greedy
2,1,Complete Greedy
2,0,Complete Greedy
2,0,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,0,Complete Greedy
3,2,Complete Greedy
3,0,Complete Greedy
3,0,Complete Greedy
3,0,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,0,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,2,Complete Greedy
3,0,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,0,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
3,1,Complete Greedy
4,0,Complete Greedy
4,0,Complete Greedy
4,0,Complete Greedy
4,0,Complete Greedy
4,2,Complete Greedy
4,1,Complete Greedy
4,1,Complete Greedy
4,1,Complete Greedy
4,2,Complete Greedy
4,2,Complete Greedy
4,2,Complete Greedy
4,1,Complete Greedy
4,2,Complete Greedy
4,2,Complete Greedy
4,1,Complete Greedy
4,1,Complete Greedy
4,0,Complete Greedy
4,1,Complete Greedy
4,1,Complete Greedy
4,1,Complete Greedy
4,0,Complete Greedy
4,0,Complete Greedy
4,5,Complete Greedy
4,1,Complete Greedy
4,1,Complete Greedy
5,1,Complete Greedy
5,1,Complete Greedy
5,1,Complete Greedy
5,2,Complete Greedy
