n,Cost,Algorithm
13,4,Complete Greedy
13,26,Complete Greedy
13,57,Complete Greedy
13,6,Complete Greedy
13,32,Complete Greedy
13,6,Complete Greedy
13,2,Complete Greedy
13,21,Complete Greedy
13,15,Complete Greedy
13,3,Complete Greedy
13,0,Complete Greedy
13,0,Complete Greedy
13,10,Complete Greedy
13,3,Complete Greedy
13,26,Complete Greedy
14,0,Complete Greedy
14,9,Complete Greedy
14,6,Complete Greedy
14,19,Complete Greedy
14,28,Complete Greedy
14,10,Complete Greedy
14,4,Complete Greedy
14,10,Complete Greedy
14,3,Complete Greedy
14,2,Complete Greedy
14,7,Complete Greedy
14,28,Complete Greedy
14,7,Complete Greedy
14,0,Complete Greedy
14,18,Complete Greedy
14,7,Complete Greedy
14,2,Complete Greedy
14,21,Complete Greedy
14,15,Complete Greedy
14,32,Complete Greedy
14,5,Complete Greedy
14,58,Complete Greedy
14,4,Complete Greedy
14,5,Complete Greedy
14,16,Complete Greedy
15,1,Complete Greedy
15,21,Complete Greedy
15,32,Complete Greedy
15,8,Complete Greedy
15,7,Complete Greedy
15,0,Complete Greedy
15,6,Complete Greedy
15,3,Complete Greedy
15,36,Complete Greedy
15,1,Complete Greedy
15,1,Complete Greedy
15,16,Complete Greedy
15,9,Complete Greedy
15,2,Complete Greedy
15,23,Complete Greedy
15,9,Complete Greedy
15,6,Complete Greedy
15,5,Complete Greedy
15,1,Complete Greedy
15,6,Complete Greedy
15,5,Complete Greedy
15,8,Complete Greedy
15,10,Complete Greedy
15,3,Complete Greedy
15,4,Complete Greedy
16,31,Complete Greedy
16,0,Complete Greedy
16,11,Complete Greedy
16,2,Complete Greedy
16,8,Complete Greedy
16,38,Complete Greedy
16,4,Complete Greedy
16,4,Complete Greedy
16,1,Complete Greedy
16,1,Complete Greedy
16,2,Complete Greedy
16,21,Complete Greedy
16,49,Complete Greedy
16,1,Complete Greedy
16,1,Complete Greedy
16,22,Complete Greedy
16,41,Complete Greedy
16,17,Complete Greedy
16,13,Complete Greedy
16,9,Complete Greedy
16,11,Complete Greedy
16,1,Complete Greedy
16,8,Complete Greedy
16,12,Complete Greedy
16,0,Complete Greedy
2,80,Karmarkar-Karp
2,5,Karmarkar-Karp
2,32,Karmarkar-Karp
2,58,Karmarkar-Karp
2,212,Karmarkar-Karp
2,84,Karmarkar-Karp
2,121,Karmarkar-Karp
2,114,Karmarkar-Karp
2,55,Karmarkar-Karp
2,82,Karmarkar-Karp
2,71,Karmarkar-Karp
2,9,Karmarkar-Karp
2,40,Karmarkar-Karp
2,96,Karmarkar-Karp
2,26,Karmarkar-Karp
2,85,Karmarkar-Karp
2,12,Karmarkar-Karp
